,Result,Text
0,TP,br br When I unsuspectedly rented A Thousand Acres I thought I entertaining King Lear story course Michelle Pfeiffer it could go wrongbr br Very quickly however I realized story A Thousand Other Things besides Acres I started crying stop long movie ended Thank Jane Laura Jocelyn bringing us wonderfully subtle compassionate movie Thank cast involved portraying characters depth gentlenessbr br I recognized Angry sister Runaway sister sister Denial I recognized Abusive Husband Father oh oh Father superbly played I also recognized movie eyeopener relief chance face OWN truth finally something it I truly hope A Thousand Acres effect others therebr br Since I understand cover said film sisters fighting land they fighting all I watched second time Then I able see one lived similar story one would easily miss overwhelming undercurrent dread fear deep bond sisters runs all That exactly reason people general often overlook truth neighbors instancebr br But yet another reason movie perfectbr br I give rats ass pardon French extend King Lear story followed All I know I honestly say movie changed lifebr br Keep good work guys CAN DO make differencebr br 
1,TP,This latest entry long series films French agent OSS 117 the French answer James Bond The series launched early 1950s spawned least eight films none ever released US OSS117CairoNest Of Spies breezy little comedy notrepeat NOT taken seriously Our protagonist finds middle spy chase Egypt with Morroco stand Egypt find long lost friend What follows standard James BondInspector Cloussou kind antics Although man something overt xenophobesexisthomophobe treated pure farce as I said take seriously Although bit rough language  cartoon violence basically okay older kids ages 12  up As previously stated subject line sit backpass popcorn  enjoy
2,TN,This movie frustrating Everything seemed energetic I totally prepared good time I least thought Id able stand it But I wrong First weird looping It like watching Americas Funniest Home Videos The damn parents I hated much The stereotypical Latino family I need speak person responsible this We need talk That little girl always hanging someone I hated mention it Now final scene transcends I must say Its gloriously bad full badness movie own What crappy dancing Horrible beautiful once
3,FN,I truly wonderfully surprised O Brother Where Art Thou The video store movies I planning renting I came across this I came home I watched I became engrossed found laughing loud The Coens made magnificiant film again But I think first time watch movie get know characters The second time know them laugh sooo hard could hurt you I strongly would reccomend ANYONE seeing not truly missing film gem ages 1010
4,TN,This movie spends time preaching script makes movie apparently script shot waste time The trailer makes comedy film cant decide wants comedy drama romance action film Press releases indicated Shatner Hamlin made movie loved script what thinking If like William Shatner I do see Free Enterprise instead
5,TP,After long time Marathi cinema come good movieThis movie one best Marathi movies ever made It shows old grandfather tries save grandsons eye He tries everything possible hands save childs eye Doctor relative tries help attemptbr br The acting grandfather boy doctor simply superb They shown true picture typical Marathi life Every bit action meaning it I would recommend watch movie initially I thought one would documentary type expectationsbr br This film really going touch heartsI would expect Marathi movies come performances like this
6,TP,This really sad touching movie It deals subject child abuse Its really sad mostly true story happens everyday Elijah Wood Joseph Mazzello play two children Lorraine Bracco single mother tries make home them While living parents man likes called The King comes life He hits youngest boy Bobby two brothers vow tell mother But finally finds out Bobby hurt badly The end kind ruined me totally unbelievable But except that I love movie
7,TN,Dont pay attention rave reviews film here It worst Van Damme film one worst sort I ever seen It would appeal somebody depth whatever requires nothing gunfire explosions entertainedbr br Seeing directed Peter Hyams made realise Peter talent director good filming explosions like However movies need elements well example story This one one This might explain awfulness Mr Hyams recent films hardly better one reallybr br One cant help wondering people ever put behind camera
8,FP,Porn legend Gregory Dark directs cheesy horror flick Glen Jacobs Kane WWFWWE whatever calls nowadays cinematic debut He plays Jacob Goodknight blind serial killer whos forte taking peoples eyes out The plot may group troubled youths cleaning historical hotel GoodKnight resides subsequently offed him Hemmingway not Starts fun dopey Bmovie soon gets tedious enjoyable Glad I went pretty low expectations even met How porn king directing still suffer lack nudity shamebr br My Grade D br br Eye Candy Samantha Noble bares ass briefly
9,TP,This great movie Something Black History month reminder goodness people statement truly take village raise child The performances S Eptath outstanding Mos Def singing hook Had double take I saw Rosie Perez there But supporting cast actors actresses made worth watching All different stories amazing And Nanny protected Jr literally everyone else presence I truly understand matriarch time period even tired helping everyone Cant wait come DVD It would welcome addition movie library
