ID,Movie,Year,Genres,Review,Rating
100001,Spider-Man: No Way Home,2021,Action/Adventure,"This is by far the best Spider-Man or even Marvel movie, the amount of mood swings it had just kept you invested in the movie the entire time. The fact that Tobey and Andrew came back and brought their old characters back to life is just amazing. I honestly can’t even think of a reason to dislike this movie in anyway. I do want to talk about the end though, that was the one of the saddest if not the saddest ending in the MCU (EndGame is a close 2nd) when you think about it Peter had only been dating MJ for a good 2-3 days since it relays from FFH into NWH and how they both love each other but now have been turned back into strangers is heartbreaking, also seeing Ned walk past Peter without saying hi or anything like that is soo sad. I can’t wait for this to come out on DVD, I’ve already pre ordered it on Movies Anywhere.",5
100002,Spider-Man: No Way Home,2021,Action/Adventure,"Coming from someone who doesn’t like the previous two mcu spider-man movies this is by far the best live action spider-man movie ever. I went in to that cinema in hopes to see Andrew and Tobey also because the movie just look really cool but then when i left that cinema i found a new love for Toms spider-man and also found me new respect for Toms trilogy, they literally gave him everything to just take it all away from him and now i see this trilogy as Toms Spider-mans origin story. Without spoiling anything i will say this movie has given long time Spider-man fans such as myself everything they wanted MCU Spider-man to be, that means no more iron boy jr. This movie as a whole is very much fan service but its fan service done correctly, its amazing writing not bad humour and the cgi is beautiful. 

I also want to say that i now can’t wait for more Tom Holland Spider-man and i am really looking forward to the path they are taking him. Absolutely AMAZING 10/10",5
100003,Spider-Man: No Way Home,2021,Action/Adventure,"Marvel has outdone themselves. This is the quintessential MCU film to date. The layout and execution of the plot is phenomenal. Raw emotion, returning actors of immeasurable talent, the action, visual effects, and character development make this film so enjoyable. I dare say that Tom Holland has definitely become the true Spider-Man within the storyline. This film also offers such an incredible extension to past villains such as the remarkable Alfred Molina’s Doc Ock, the brilliant Willem Da foe’s Green Goblin, the ecstatic (no pun intended) Jamie Foxx’s Electro, Thomas Haden Church’s Sandman, and Rhys Ifans’ Lizard. Returning cast such as Benedict Cumberbatch, Zendaya, 
Jacob Batalon, and even (spoiler alert) the previous Spider-Men Tobey Maguire and Andrew Garfield themselves! Overall, this is hands down the best MCU film to be released to date. Jon Watts has created something unique that can only be experienced through the glimpse of the audience.",5
100004,Spider-Man: No Way Home,2021,Action/Adventure,"Saw this #FDFS at 5am
You beauty Spider-Man
The best #SpiderMan movie ever in this generation or in coming decade.
I must say you stay away from internet if you gonna watch this !!
So many chilling moments that you will end up screaming , yelling in happiness and you will keep wondering how can this be pulled up into one movie. 
This opens so many timelines and possibilities for Marvel and Sony to create amazing stories. 
Damn fun , emotional and what not so so many surprising elements you didnt even managed to think. 
The whole cast deserves a bow for keeping tight lipped specially Tom Holland,you have told lot of lies to keep the movie fresh.
#JonWatts Marvel Studios Sony Pictures Kevin Feige Million Thank you is not enough for this Christmas present. 
This movie will end up as being the blockbuster movie of era surpassing Avengers and Avatar. 

Please for god sake dont spoil the surprises to your family and friends if you have watched. 
See in theaters near you 
Marvel #SpiderManNoWayHome 
Alert - If you open YouTube for reviews, you will end up seeing spoiler thumbnails   
Spider-Man",5
100005,Spider-Man: No Way Home,2021,Action/Adventure,"Best in the Spiderman line, and it takes top spot in the MCU movies.
I love Ragnarock, Black Panther, End Game, and my once favorite, Iron Man, but No Way Home is seamless. From the opening flowing realistic physics used, to the properly placed protagonistic tabloids, Aunt May, and the acceptance of responsibility that brought a memorable and meaningful resolution that leaves you feeling gifted.
No Way Home never went too far one way, nor ever left the thread of momentum.
I've seen Iron Man at least 5 times, and I will certainly have no problem watching No Way Home even more.
High replay value. ",5
100006,Spider-Man: No Way Home,2021,Action/Adventure,"Awful movie. The plot sucked and had awful pacing humour, and dialogue were subpar(like the octopus joke). and they couldn't think of anything better so they brought back some old characters which still didn't save this poorly written film. One bad dialogue scene was when the 3 Spider-Men where making jokes about Tobey's organic webs which was just awkward and humourless. And to add to that, Tobey saying that ""my back"" joke and Norman Osborn repeating ""I'm something of a scientist myself"". Just why?! The film could never decide whether it's a comedy or a dark action movie.",1
100007,Spider-Man: No Way Home,2021,Action/Adventure,"Marvel really need new writers(especially in the comedic department), because they've released 4 bad movies this year and a TV show that messed up a timeline just like No Way Home did. And they've also ruined Spider-Man's character by not properly developing him and just throwing him into the Avengers drama. They are cash grabbers and only adding him because he is popular and it will get the movie ticket sales up. Watch Spectacular Spider-Man if you wanna see a better version of a teenger superhero. No Way Home is one of the few movies that make me wish the villains had won, and the reason is that the plot armour on Spider-Man was too strong. Like when geometry was somehow the answer to get out of the mirror dimension. Green Goblin was right about his morality getting the better of him.",1
100008,Spider-Man: No Way Home,2021,Action/Adventure,"This movie showed us someone that we didn´t even know his name. He was following MJ and Ned around. It was just a brown pwetty pwetty NYC boy. Thye brought back mr gween elf, tree, ewectro, octotron 3000, mr sand cheeks from spongebob. my high school project that was a lizard but went wrong and killed everyone. JJJ wasn´t played by Jim Kerry from Sonic the Hedgehog. Also who thinks that MJ is attrative. Micheal Jackson of course. Also ned didn´t even make out with a gacha kid. He wants to s[pend his witty litte time with the NYC play boy. Also why did mr magic hands not stop da litte spelly welly that NYC play boy made. I really loved ANdrew Garfielyyy really muchy e wuchy becausey he playe wellyed my favortite  hara ter. He playes the tere. And tom hanks returned on a late night game show. The death star showed up as spdiermam. And then mr NYC play boe just bliped put of exitance. I weally want to know whip this masked spideyboy who save me cat feam mr trae. Overall, very basett movie.",1
100009,Spider-Man: No Way Home,2021,Action/Adventure,"I'm not a fan of super-turds.  I watched this film only to see how they would bring 3 spider-turds together.  I was not disappointed at all, because  I knew deep inside this movie would suck.  I give one star for creativity.  But in my opinion, I'm tired of multi-verses, monsterverses, Marvel Universes, DC Universes, Covid_19 Universes, etc.  ",1
100010,Spider-Man: No Way Home,2021,Action/Adventure,"I didn't enjoy this movie and what dialogue there was...well it was terrible.  Tom Holland may be a good actor, I've never watched anything he's in.  But the rest, holy jumpin' bat farts Batman!  The story may have been interesting were it not for the fact that it tried too hard to be emotional when it wasn't needed, and tried to hard to be lackadaisical when seriousness was needed.  Spidey loses another loved one..waaa waaaa waaaa...and the end, where he's supposed to be noble and let MJ and Ned get on with there lives?  J Jonah Jameson was right.  Spidey a liar!",1
100011,Spider-Man: No Way Home,2021,Action/Adventure,"Would rate a 3 but no one reads those

First off, the plot was so corny and throughout the whole movie it felt like it really had no value or sentimental impact. Given the fact that they could have pressed the button to get rid off all the villains but decided to “save” them really didn’t rest well with me. Throughout all the Spider-Man movies they are battling against them but then this one comes around me the whole story is flipped. It’s unrealistic and stupid if I’m being real. Secondly, it felt as if it was more marvel trying to pump nostalgia then anything instead of focusing on crafting a good, believe-able storyline. The OG Spider-Man’s could have been introduced in a much more impactful way. The fact that the villains sided with Peter was the tipping point for the ridiculousness. Just for them to turn their backs on him. Another stupid plot by marvel to keep the corny story running. For the rest of the movie it went downhill, with basically zero emotional impact whatsoever.  It felt as if the movie was more just a fan service then anything. The only moment that I felt the slightest emotion was when Peter would no longer be remembered by his best friends. Some of the fight scenes were cool and all and the production was on point. Willem Dafoe played the best role in the whole movie and was incredible. That’s about all I can think of for the positives. The end credits scenes were also very awesome and open up a lot of potential for another Spider-Man movie.",1
